id,question,category,difficulty,role,ideal_keywords
1,Tell me about yourself and your background in technology.,HR,Easy,All,"education, projects, passions, experience, technical skills, achievements"
2,Why should we hire you for this role?,HR,Easy,All,"skills, enthusiasm, problem solving, team player, fast learner, alignment"
3,What are your key strengths and technical weaknesses?,HR,Medium,All,"self awareness, technical learning, time management, problem solving, teamwork"
4,Describe a situation where you worked under tight deadlines.,Behavioral,Medium,All,"prioritization, time management, communication, focus, deliverables"
5,How do you handle conflict or disagreement in a technical team?,Behavioral,Hard,All,"active listening, open communication, collaboration, constructive resolution, compromise"
6,What is Python and why is it popular for software development?,Technical,Easy,Software Developer,"interpreted, dynamic typing, rich libraries, clear syntax, OOP, versatile"
7,Explain object-oriented programming concepts in Python.,Technical,Medium,Software Developer,"encapsulation, inheritance, polymorphism, abstraction, classes, objects"
8,What is the difference between a list and a tuple in Python?,Technical,Easy,Software Developer,"mutable, immutable, memory efficiency, syntax, performance, hashable"
9,Explain how garbage collection works in Python.,Technical,Hard,Software Developer,"reference counting, cyclical reference, gc module, memory management"
10,What are Decorators in Python and how do they function?,Technical,Hard,Software Developer,"higher order function, wrapper, meta programming, arguments, syntactic sugar"
11,What is SQL and what is the difference between WHERE and HAVING clauses?,Technical,Easy,Data Analyst,"structured query language, filtering rows, aggregation, GROUP BY, database"
12,"Explain SQL INNER JOIN, LEFT JOIN, and RIGHT JOIN with examples.",Technical,Medium,Data Analyst,"table relationship, matching rows, NULL values, primary key, foreign key"
13,What is data normalization and why is it important?,Technical,Medium,Data Analyst,"reduce redundancy, data integrity, normal forms, 1NF, 2NF, 3NF"
14,What is the difference between Pandas DataFrame and Series?,Technical,Easy,Data Analyst,"2D table, 1D array, index, columns, datatypes, vectorized operations"
15,How do you handle missing or null data in a statistical dataset?,Technical,Medium,Data Analyst,"imputation, mean, median, dropna, fillna, data quality"
16,What is the difference between supervised and unsupervised machine learning?,Technical,Easy,Data Scientist,"labeled data, unlabeled data, classification, regression, clustering"
17,What is overfitting in machine learning and how do you prevent it?,Technical,Medium,Data Scientist,"high variance, regularization, cross validation, dropout, early stopping, training data"
18,Explain the bias-variance tradeoff in predictive modeling.,Technical,Hard,Data Scientist,"underfitting, overfitting, model complexity, generalization error"
19,What evaluation metrics do you use for classification problems?,Technical,Medium,Data Scientist,"accuracy, precision, recall, f1 score, confusion matrix, ROC AUC"
20,How does the Random Forest algorithm work?,Technical,Hard,Data Scientist,"decision trees, bagging, ensemble, feature randomness, voting"
21,What is the difference between Machine Learning and Deep Learning?,Technical,Easy,Machine Learning Engineer,"feature engineering, neural networks, computational power, deep architectures, datasets"
22,Explain how Gradient Descent optimizes model loss functions.,Technical,Hard,Machine Learning Engineer,"learning rate, partial derivatives, local minima, convergence, backpropagation"
23,What is activation function and why is ReLU widely used?,Technical,Medium,Machine Learning Engineer,"non-linearity, vanishing gradient, computation, neural layer, threshold"
24,How do Convolutional Neural Networks process image data?,Technical,Hard,Machine Learning Engineer,"filters, kernels, pooling, spatial feature maps, image classification"
25,What is transfer learning and when should you use it?,Technical,Medium,Machine Learning Engineer,"pre-trained weights, fine tuning, limited dataset, feature extraction, domain adaptation"
26,What is HTML5 and how does it differ from older HTML versions?,Technical,Easy,Web Developer,"semantic tags, audio video support, canvas, local storage, modern web"
27,Explain the concept of CSS Flexbox and Grid layouts.,Technical,Medium,Web Developer,"responsive design, alignment, axis, 2D layout, container, flex direction"
28,What is the difference between client-side and server-side rendering?,Technical,Medium,Web Developer,"SEO, initial load speed, DOM manipulation, server execution, React, hydration"
29,What is the DOM and how does JavaScript manipulate it?,Technical,Easy,Web Developer,"document object model, dynamic page, event listeners, elements, document API"
30,Explain asynchronous programming in JavaScript using Promises and async/await.,Technical,Hard,Web Developer,"event loop, non blocking, callback hell, resolve, reject, try catch"
31,What is RESTful API architecture and what are standard HTTP methods?,Technical,Easy,Backend Developer,"GET, POST, PUT, DELETE, statelessness, resources, HTTP status codes"
32,What is the difference between relational and NoSQL databases?,Technical,Medium,Backend Developer,"ACID compliance, schema, SQL, document store, horizontal scaling, MongoDB"
33,How do you secure a web application against SQL Injection attacks?,Technical,Hard,Backend Developer,"parameterized queries, prepared statements, input validation, ORM, security"
34,What is CORS and how do backends handle cross-origin requests?,Technical,Medium,Backend Developer,"cross origin resource sharing, headers, preflight request, security, browser origin"
35,"Explain middleware in framework architectures like Express, Django, or FastAPI.",Technical,Medium,Backend Developer,"request response lifecycle, authentication, logging, pipeline, next function"
36,What is the difference between symmetric and asymmetric encryption?,Technical,Easy,Cyber Security Analyst,"private key, public key, AES, RSA, key exchange, speed"
37,What is the OWASP Top 10 vulnerabilities list?,Technical,Medium,Cyber Security Analyst,"SQLi, XSS, broken access control, security misconfiguration, cryptographic failure"
38,Explain how a Cross-Site Scripting attack works.,Technical,Hard,Cyber Security Analyst,"malicious script, session hijacking, sanitization, reflected, stored, DOM XSS"
39,What is a Firewall and how does packet filtering operate?,Technical,Easy,Cyber Security Analyst,"network traffic, IP addresses, ports, rules, security boundary, inspection"
40,Explain the TCP/IP 3-Way Handshake protocol.,Technical,Medium,Cyber Security Analyst,"SYN, SYN-ACK, ACK, connection establishment, sequence numbers"
41,Describe a complex technical project you completed recently.,Behavioral,Medium,All,"architecture, challenges, solution, technologies, outcome, impact"
42,How do you approach learning a new programming language or framework quickly?,Behavioral,Easy,All,"documentation, mini projects, hands-on practice, consistency, community"
43,Tell me about a time when your code failed or had a major bug.,Behavioral,Medium,All,"debugging, root cause analysis, logging, unit testing, ownership"
44,Where do you see yourself professionally in the next 3 to 5 years?,HR,Easy,All,"growth, technical mastery, leadership, impact, continuous learning"
45,How do you prioritize multiple tasks when deadlines overlap?,Behavioral,Medium,All,"urgency vs importance, planning, communication, focus, milestone tracking"
46,Explain the difference between process and thread in operating systems.,Technical,Medium,Software Developer,"memory space, overhead, concurrency, context switching, shared resources"
47,What is Git and how do git rebase and git merge differ?,Technical,Medium,Software Developer,"version control, commit history, linear history, conflict resolution, branches"
48,"What is precision, recall, and when would you prioritize recall over precision?",Technical,Hard,Data Scientist,"false positives, false negatives, medical diagnosis, spam detection, sensitivity"
49,Explain the difference between microservices and monolithic architecture.,Technical,Hard,Backend Developer,"scalability, deployment, independence, complexity, network latency"
50,What is Cross-Validation and why is k-fold cross-validation used?,Technical,Medium,Data Scientist,"dataset partitioning, generalization error, train test split, k folds, bias reduction"
